gene_id,log2foldchange,pvalue,padjust,gene_chr
AGAP007417,-0.424910467595199,0.255035020801104,0.507383244233718,AgamP4_2L
AGAP002895,-0.196912822750936,0.255441092319229,0.507959532990775,AgamP4_2R
AGAP029610,-0.162934051809525,0.255474159815987,0.507959532990775,AgamP4_3R
AGAP000808,0.167234964249381,0.255482917434048,0.507959532990775,AgamP4_X
AGAP008279,1.46639020987855,0.255539521127515,0.507967209077212,AgamP4_3R
AGAP029577,-0.177403793829132,0.255593068926239,0.507968808672845,AgamP4_2R
AGAP011234,-3.87288106002399,0.255615848883392,1,AgamP4_3L
AGAP001405,-0.21649047569324,0.255699050355701,0.508074593351713,AgamP4_2R
AGAP007832,0.687476792192762,0.255784706730486,0.508139956790699,AgamP4_3R
AGAP009502,3.0236219941562,0.255802348614832,1,AgamP4_3R
AGAP008211,3.0236219941562,0.255802348614832,1,AgamP4_3R
AGAP003197,2.05219575702921,0.255840173172578,0.508145330547555,AgamP4_2R
AGAP002320,-0.284554565854685,0.255969381657117,0.50829713705973,AgamP4_2R
AGAP004399,0.230674379903622,0.256064983521741,0.508382159616138,AgamP4_2R
